budget_tokens	G	heldout_acc_mean	heldout_acc_ci_low	heldout_acc_ci_high	gu_estimate	best_in_row
1000000	4	0.41	0.38	0.44	1.7223	no
1000000	8	0.48	0.45	0.51	1.1172	yes
1000000	16	0.47	0.44	0.5	0.6563	no
1000000	32	0.42	0.39	0.45	0.3424	no
1000000	64	0.35	0.32	0.38	0.1712	no
4000000	4	0.55	0.52	0.58	2.1287	no
4000000	8	0.67	0.64	0.7	1.4574	no
4000000	16	0.69	0.66	0.72	0.8661	yes
4000000	32	0.66	0.63	0.69	0.4759	no
4000000	64	0.58	0.55	0.61	0.2462	no
16000000	4	0.63	0.6	0.66	2.3311	no
16000000	8	0.78	0.75	0.81	1.606	no
16000000	16	0.82	0.79	0.85	0.9587	no
16000000	32	0.84	0.81	0.87	0.5593	yes
16000000	64	0.8	0.77	0.83	0.2934	no
64000000	4	0.64	0.61	0.67	2.4177	no
64000000	8	0.8	0.77	0.83	1.6615	no
64000000	16	0.85	0.82	0.88	0.9924	no
64000000	32	0.88	0.85	0.91	0.5819	yes
64000000	64	0.87	0.84	0.9	0.318	no
